"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","�..X","Y","objectid","pcds","oa11","laua","ward","lsoa11","msoa11","rgn"
"CAU RESTAURANTS LIMITED","Fourth Floor,
7-9 Swallow Street,
London,
United Kingdom,
W1B 4DE","7381319","56101",7.5,6,50,64,24.7,21.1,55,45,71,29,77,23,74,26,"http://www.caurestaurants.com/gender-pay-at-cau-restaurants","Frank Bandura (Group Financial Director)","500 to 999","CAU RESTAURANTS LIMITED",FALSE,-0.137633750671049,51.5093740658729,2427971,"W1B 4DE","E00024112","E09000033","E05000649","E01033595","E02000972","E12000007"
"CAVENDISH NUCLEAR LIMITED","33 Wigmore Street,
London,
United Kingdom,
W1U 1QX","3975999","82990",21.5,20.7,-20.8,42.4,19.5,11.6,71.1,28.9,79.2,20.8,87.2,12.8,91.7,8.3,"https://www.babcockinternational.com/Who-We-Are/Sustainability/People-and-Potential","Kevin Goodman (Group Director of Organisation & Development)","1000 to 4999","CAVENDISH NUCLEAR LIMITED",FALSE,-0.148093625854843,51.5161852849448,2440014,"W1U 1QX","E00023845","E09000033","E05000641","E01004714","E02000970","E12000007"
"CB&I UK LIMITED","40 Eastbourne Terrace,
London,
United Kingdom,
W2 6LG","4438080","42990,
71121",33.8,38.8,75.1,53.6,32.4,20,57.1,42.9,72.8,27.2,91.4,8.6,92.7,7.3,"https://www.cbi.com/getattachment/Careers/CB-I-Career-Opportunities/260318-GDPR-CBI-UK-Limited-April-2017.pdf.aspx","Andy Braddel (Director of Human Resources)","250 to 499","CB&I UK LIMITED",FALSE,-0.179551294237549,51.5170643881452,2446634,"W2 6LG","E00023643","E09000033","E05000636","E01004681","E02000975","E12000007"
"CBRE CORPORATE OUTSOURCING LIMITED","St Martins Court, 10 Paternoster Row,
London,
EC4M 7HP","4406788","68320",35.6,39.9,65.2,65.3,76.6,72.9,22.4,77.6,44.1,55.9,61.2,38.8,78.2,21.8,"http://www.cbre.co.uk/genderpaygapreport","Ian Entwisle (CEO CBRE GWS EMEA)","500 to 999","CBRE CORPORATE OUTSOURCING LIMITED",FALSE,-0.098052532802769,51.5147640962838,756454,"EC4M 7HP","E00000024","E09000001","E05009304","E01032739","E02000001","E12000007"
"CBRE LIMITED","St Martin's Court,
10 Paternoster Row,
London,
United Kingdom,
EC4M 7HP","3536032","41100,
68310,
68320",33.7,38.1,79,73.3,92.5,87.3,39.1,60.9,43.9,56.1,69.5,30.5,81.5,18.5,"http://www.cbre.co.uk/genderpaygapreport","Ciaran Bird (UK Managing Director)","1000 to 4999","CBRE LIMITED",FALSE,-0.098052532802769,51.5147640962838,756454,"EC4M 7HP","E00000024","E09000001","E05009304","E01032739","E02000001","E12000007"
"CBRE MANAGED SERVICES LIMITED","City Bridge House, 57 Southwark Street,
London,
SE1 1RU","1799580","82990",23.3,28.8,8.7,9.6,18.6,13,55.4,44.6,79.7,20.3,91.4,8.6,86.8,13.2,"http://www.cbre.co.uk/genderpaygapreport","Ian Entwisle (CEO CBRE GWS EMEA)","5000 to 19,999","CBRE MANAGED SERVICES LIMITED",FALSE,-0.094467553928742,51.5046609775627,2006101,"SE1 1RU","E00019780","E09000028","E05000536","E01003935","E02000808","E12000007"
"CBRE MANAGEMENT SERVICES LIMITED","St Martin's Court,
10 Paternoster Row,
London,
United Kingdom,
EC4M 7HP","1415100","68320",26.4,24.8,40.6,20,84.5,81.3,25.3,74.7,38.9,61.1,62.1,37.9,74.5,25.5,"http://www.cbre.co.uk/genderpaygapreport","Ciaran Bird (UK Managing Director)","250 to 499","CBRE MANAGEMENT SERVICES LIMITED",FALSE,-0.098052532802769,51.5147640962838,756454,"EC4M 7HP","E00000024","E09000001","E05009304","E01032739","E02000001","E12000007"
"CCM FACILITIES LTD","Trident House Lower Ground Floor, 46 - 48 Webber Street,
London,
SE1 8QW","2498745","81210",17.6,21.5,61.7,61.7,0.7,0.7,45.3,54.7,47.7,52.3,47,53,59.5,40.5,"","Suzanne Scott (Finance Director)","500 to 999","CCM FACILITIES LTD",TRUE,-0.105168531437367,51.5013181670524,2008653,"SE1 8QW","E00165809","E09000028","E05000536","E01032583","E02006802","E12000007"
"CDC GROUP PLC","123, Victoria Street,
London,
SW1E 6DE","3877777","64303",29.2,33,24.8,31.8,24.8,13.3,23,77,47,53,54,46,75,25,"http://www.cdcgroup.com/Documents/CDC%20Gender%20Pay%20Gap.pdf","Nick O'Donohoe (Chief Executive Officer)","Less than 250","CDC GROUP PLC",FALSE,-0.138376883521554,51.4968050500094,2239300,"SW1E 6DE","E00024031","E09000033","E05000646","E01004748","E02000979","E12000007"
"CDW LIMITED","10 Fleet Place,
London,
United Kingdom,
EC4M 7RB","2465350","63990",37.3,14.3,59.7,56.3,52.6,55.3,70.4,29.6,71.9,28.1,74.3,25.7,85.8,14.2,"https://uk.cdw.com/files/5915/2224/8223/CDW_PayGapReport_v9_FINAL.PDF","Dan Laws (Managing Director CDW UK & VP International)","1000 to 4999","CDW LIMITED",FALSE,-0.103636463877092,51.514962436236,756537,"EC4M 7RB","E00000026","E09000001","E05009305","E01032740","E02000001","E12000007"
